uesi_id,city,date,pm25,pm10,o3,no2,so2,co,psi,WHO,Concentration,Anomaly
CHN_R912940,"Beijing, CHN",2024-04-08,55.3125,84.125,38.4375,14.6875,1.375,3.75,NA,Exceeding All Recommended Guidelines,43 ppm - 59.4 ppm,-0.5 - 0
CHN_R912940,"Beijing, CHN",2024-04-07,133.0625,42.0625,38.1875,11.5625,1,1.75,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-04-06,112.1875,75.375,51.375,15.6875,1,3.6875,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-04-05,117.5,65.6875,45.875,14.25,1.3333333333333333,3.875,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-04-04,126.9375,67.75,33.6875,14.3125,1.875,4.625,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-04-03,130.4375,71.4375,49.25,12.6875,1.2,4.0625,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-04-02,120.25,83.375,54.4375,12.125,1.75,4.4375,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-04-01,125.4375,78.25,39.1875,12.6875,2.125,6.25,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-03-31,52.25,78.5625,39.25,16.125,2.2,6.3125,NA,Exceeding All Recommended Guidelines,43 ppm - 59.4 ppm,-2 - -0.5
CHN_R912940,"Beijing, CHN",2024-03-30,85.3125,45.75,38.6875,7.1875,1,1.5625,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,0 - 0.5
CHN_R912940,"Beijing, CHN",2024-03-29,113.5,115.25,35.5,6.375,NA,1.75,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-03-28,180.3125,292.375,33.75,7.4375,1,2.8125,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-03-27,164.4375,96.375,10.0625,22.6875,1,8.75,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-03-26,141.9375,76.93333333333334,17.875,17.6875,1,6.4375,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-03-25,143.6875,58.4,36.9375,11,1.3333333333333333,5.0625,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-03-24,122.125,73,32.4375,16.3125,2.3125,8.5,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-03-23,106,72.5625,42.4375,20.375,2.2666666666666666,6.0625,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0 - 0.5
CHN_R912940,"Beijing, CHN",2024-03-22,129.375,61.9375,36.9375,15.75,1.125,4.1875,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-03-21,53.4375,80.5625,24.0625,21.625,1.5333333333333334,4.125,NA,Exceeding All Recommended Guidelines,43 ppm - 59.4 ppm,-0.5 - 0
CHN_R912940,"Beijing, CHN",2024-03-20,57.1875,52.5625,30.8125,7.5625,1,1.5625,NA,Exceeding All Recommended Guidelines,43 ppm - 59.4 ppm,-0.5 - 0
CHN_R912940,"Beijing, CHN",2024-03-19,115.125,81.4375,30.8125,3.5,1,1.3125,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-03-18,35.125,108.9375,32.25,12.5625,1,2.5,NA,Exceeding All Recommended Guidelines,12.2 ppm - 43 ppm,-2 - -0.5
CHN_R912940,"Beijing, CHN",2024-03-17,124.4375,41.75,33.8125,4.875,1.5,1.8125,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-03-16,163.375,98.8125,37.75,10.0625,1.25,6,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-03-15,99.6875,91.5625,62,17.5,1.1875,5.25,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,0 - 0.5
CHN_R912940,"Beijing, CHN",2024-03-14,109.5625,56.1875,43.1875,16.875,1.2142857142857142,3.3125,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-03-13,81.125,57.25,34.125,16.5625,1.1428571428571428,3.125,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,0 - 0.5
CHN_R912940,"Beijing, CHN",2024-03-12,109,42,38.625,9.625,1.1111111111111112,2.8125,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-03-11,164.6875,62.625,33.875,16.75,1.25,4.5,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-03-10,103.8125,88.625,25.5,25.375,1.8,6,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0 - 0.5
CHN_R912940,"Beijing, CHN",2024-03-09,35.875,54.125,29.5,17.1875,1.4666666666666666,3.375,NA,Exceeding All Recommended Guidelines,12.2 ppm - 43 ppm,-2 - -0.5
CHN_R912940,"Beijing, CHN",2024-03-08,94.5625,22.5,30.875,7.1875,NA,1.375,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,0 - 0.5
CHN_R912940,"Beijing, CHN",2024-03-07,89.9375,42.875,30.875,12.1875,1,3.875,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,0 - 0.5
CHN_R912940,"Beijing, CHN",2024-03-06,141.875,39.3125,29.6875,10.9375,1,3.5,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-03-05,98.625,62.125,27.1875,11.4375,1.5714285714285714,5.75,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,0 - 0.5
CHN_R912940,"Beijing, CHN",2024-03-04,78.6875,52.3125,28.1875,13.3125,1.4375,5.625,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,-0.5 - 0
CHN_R912940,"Beijing, CHN",2024-03-03,93.1875,53.5625,29.3125,11.25,1.4285714285714286,3.9375,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,0 - 0.5
CHN_R912940,"Beijing, CHN",2024-03-02,45.5625,74.625,29.625,11.6875,1,2.75,NA,Exceeding All Recommended Guidelines,43 ppm - 59.4 ppm,-2 - -0.5
CHN_R912940,"Beijing, CHN",2024-03-01,38.375,32.3125,28,6.5,2,1.6875,NA,Exceeding All Recommended Guidelines,12.2 ppm - 43 ppm,-2 - -0.5
CHN_R912940,"Beijing, CHN",2024-02-29,118.625,27.8125,31.9375,4.1875,1,1.75,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-02-28,120.3125,66.875,27,14,1.375,3.5,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-02-27,129,68.5,24.125,13.875,1.5,4.125,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-02-26,76.875,63.5625,29.5,11.6875,2.1333333333333333,5.6875,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,-0.5 - 0
CHN_R912940,"Beijing, CHN",2024-02-25,116.625,45.5625,29.25,7.75,1,2.3125,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-02-24,70.4375,51.8125,27,14.8125,1.2307692307692308,5,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,-0.5 - 0
CHN_R912940,"Beijing, CHN",2024-02-23,26.0625,31.0625,23.4375,13.0625,1.4285714285714286,4.0625,NA,Within 4th Interim Target of 35µg/m^3,12.2 ppm - 43 ppm,-2 - -0.5
CHN_R912940,"Beijing, CHN",2024-02-22,44.5,13.1875,29.25,3.4375,1.25,1.75,NA,Exceeding All Recommended Guidelines,43 ppm - 59.4 ppm,-2 - -0.5
CHN_R912940,"Beijing, CHN",2024-02-21,40.8125,18.875,26.6875,5.0625,1.3333333333333333,1.6875,NA,Exceeding All Recommended Guidelines,12.2 ppm - 43 ppm,-2 - -0.5
CHN_R912940,"Beijing, CHN",2024-02-20,32.9375,20.0625,26.1875,2.9375,1,1.9333333333333331,NA,Within 4th Interim Target of 35µg/m^3,12.2 ppm - 43 ppm,-2 - -0.5
CHN_R912940,"Beijing, CHN",2024-02-19,132.0625,33.0625,29.9375,2.857142857142857,1,1.9333333333333331,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-02-18,156,64.4375,30.1875,12.125,1.7,8.8125,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-02-17,119.5625,72.0625,27.625,13.8125,1.5,5.6875,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-02-16,36.8125,56.9375,28.0625,9.0625,1.2,4.375,NA,Exceeding All Recommended Guidelines,12.2 ppm - 43 ppm,-2 - -0.5
CHN_R912940,"Beijing, CHN",2024-02-15,89.875,19.9375,31.3125,4.125,1,1.875,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,0 - 0.5
CHN_R912940,"Beijing, CHN",2024-02-14,179.5,51.375,31.5625,9.75,1.375,5.0625,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-02-13,156.8125,97.25,47.1875,18.1875,1.9333333333333331,7.875,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-02-12,134.4375,76.1875,36.5625,13.9375,1.6666666666666667,5.5625,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-02-11,82.1875,56.75,29.0625,9.125,1.3,3.1875,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,0 - 0.5
CHN_R912940,"Beijing, CHN",2024-02-10,105.4375,34.875,31.0625,3.9375,1.1666666666666667,1.75,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0 - 0.5
CHN_R912940,"Beijing, CHN",2024-02-09,61.375,40.5,35.3125,7.25,1,3.5625,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,-0.5 - 0
CHN_R912940,"Beijing, CHN",2024-02-08,61.375,23.1875,31.125,5,1,1.75,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,-0.5 - 0
CHN_R912940,"Beijing, CHN",2024-02-07,95.875,24.5625,32.3125,4.733333333333333,1,1.9333333333333331,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,0 - 0.5
CHN_R912940,"Beijing, CHN",2024-02-06,152.125,38.625,31.1875,9.125,1.3333333333333333,4.0625,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
