uesi_id,city,date,pm25,pm10,o3,no2,so2,co,psi
CHN_R912940,"Beijing, CHN",01/13/2016,53.666666666666664,42.13333333333333,20.733333333333334,19.2,7.666666666666667,8.466666666666667,NA
CHN_R912940,"Beijing, CHN",01/13/2017,109.625,24.0625,30.375,10.8125,4.5625,3.4545454545454546,NA
CHN_R912940,"Beijing, CHN",01/13/2018,127.33333333333333,80.6,7.8125,38.266666666666666,8.466666666666667,16.375,NA
CHN_R912940,"Beijing, CHN",01/13/2019,263.375,143.875,23.75,28.8125,2.625,15.1875,NA
CHN_R912940,"Beijing, CHN",01/13/2020,69.5,19.75,25.75,7.125,1.75,2.375,NA
CHN_R912940,"Beijing, CHN",01/13/2021,119,170.3125,27.625,13.8125,1.0833333333333333,4.5,NA
CHN_R912940,"Beijing, CHN",01/13/2022,55.875,20.3125,20.25,9.375,1,2.25,NA
CHN_R912940,"Beijing, CHN",01/13/2023,167.25,64.25,25.25,12.9375,1.2,5.4375,NA
CHN_R912940,"Beijing, CHN",01/13/2024,154.5625,64.8125,11.8125,23.0625,1.375,9.1875,NA
CHN_R912940,"Beijing, CHN",01/14/2014,175.13333333333333,83.06666666666666,10.214285714285714,35.4,36.733333333333334,28.533333333333335,NA
CHN_R912940,"Beijing, CHN",01/14/2015,213.8125,146.2,3.142857142857143,46.6875,25.625,28.4375,NA
CHN_R912940,"Beijing, CHN",01/14/2016,82.4,69.86666666666666,18.866666666666667,28.8,13.666666666666666,17.2,NA
CHN_R912940,"Beijing, CHN",01/14/2017,51.75,37.2,22.375,22.3125,8.1875,7.090909090909091,NA
CHN_R912940,"Beijing, CHN",01/14/2018,173.2,78.06666666666666,20.6875,36.2,6.8,17,NA
CHN_R912940,"Beijing, CHN",01/14/2019,183.8125,99.25,21.1875,32.875,4,14.5625,NA
CHN_R912940,"Beijing, CHN",01/14/2020,44.75,25.6875,20.75,13.875,1.5333333333333334,3.4375,NA
CHN_R912940,"Beijing, CHN",01/14/2021,135.5625,80.5,13.0625,16.125,2.0625,8.125,NA
CHN_R912940,"Beijing, CHN",01/14/2022,37.0625,59.1875,8.625,23.625,1.2666666666666666,7.125,NA
CHN_R912940,"Beijing, CHN",01/14/2023,142.25,10,26.5625,2.1818181818181817,1,1.0625,NA
CHN_R912940,"Beijing, CHN",01/14/2024,126.5,23.75,26.3125,7.375,1,2,NA
CHN_R912940,"Beijing, CHN",01/15/2014,176,150.66666666666666,7.642857142857143,45.86666666666667,41.53333333333333,35.93333333333333,NA
CHN_R912940,"Beijing, CHN",01/15/2015,263.75,266.72727272727275,3.642857142857143,51.9375,16.125,41.0625,NA
CHN_R912940,"Beijing, CHN",01/15/2016,143.66666666666666,83.53333333333333,11.866666666666667,36.06666666666667,17,22.133333333333333,NA
CHN_R912940,"Beijing, CHN",01/15/2017,79.125,59.53333333333333,14.8125,24.4375,8.4375,8.454545454545455,NA
CHN_R912940,"Beijing, CHN",01/15/2018,198.73333333333332,43.8,19.6875,22.533333333333335,4.733333333333333,8.4375,NA
CHN_R912940,"Beijing, CHN",01/15/2019,169.4375,50.75,24.9375,6.875,2.5,2.6875,NA
CHN_R912940,"Beijing, CHN",01/15/2020,62.4375,49,9.9375,25.125,3,7.8125,NA
CHN_R912940,"Beijing, CHN",01/15/2021,135.875,102.125,27.375,7.9375,1.125,3.875,NA
CHN_R912940,"Beijing, CHN",01/15/2022,128.9375,43.5625,24.4375,15.5,1,5.8125,NA
CHN_R912940,"Beijing, CHN",01/15/2023,13.6875,21,26.1875,3.9375,1,1.0625,NA
CHN_R912940,"Beijing, CHN",01/15/2024,32.875,34.5,16.125,17.75,1,3.5,NA
CHN_R912940,"Beijing, CHN",01/16/2014,241.33333333333334,269.8,7.857142857142857,56.06666666666667,55.13333333333333,43.86666666666667,NA
CHN_R912940,"Beijing, CHN",01/16/2015,359.5625,118.57142857142857,25.8125,18.25,4.375,14.5625,NA
CHN_R912940,"Beijing, CHN",01/16/2016,168.66666666666666,97.13333333333334,6.533333333333333,32.4,20.6,22.6,NA
CHN_R912940,"Beijing, CHN",01/16/2017,139.0625,77.46666666666667,5.875,31.9375,11.375,15.181818181818182,NA
CHN_R912940,"Beijing, CHN",01/16/2018,88.93333333333334,110.66666666666667,25.8125,20.133333333333333,2.6,6.6875,NA
CHN_R912940,"Beijing, CHN",01/16/2019,33.9375,56.9375,14.75,24.125,4.75,6.8125,NA
CHN_R912940,"Beijing, CHN",01/16/2020,124,46.6875,20,22.0625,2.875,9.25,NA
CHN_R912940,"Beijing, CHN",01/16/2021,109.1875,28.5,26.375,5.125,1.2,1.5625,NA
CHN_R912940,"Beijing, CHN",01/16/2022,89.1875,21.1875,18.0625,10.75,1,2.3125,NA
CHN_R912940,"Beijing, CHN",01/16/2023,26.9375,38.5,21.0625,10.5,1,2.125,NA
CHN_R912940,"Beijing, CHN",01/16/2024,63.5,64.0625,8.1875,24.75,1,6.0625,NA
CHN_R912940,"Beijing, CHN",01/17/2014,386.3333333333333,105.66666666666667,13.571428571428571,33.86666666666667,34.733333333333334,27.666666666666668,NA
CHN_R912940,"Beijing, CHN",01/17/2015,128.1875,74.53333333333333,16.9375,26.4375,15.75,11.375,NA
CHN_R912940,"Beijing, CHN",01/17/2016,190.93333333333334,36.333333333333336,27.8,12.733333333333333,3.933333333333333,7.666666666666667,NA
CHN_R912940,"Beijing, CHN",01/17/2017,172.75,99,11.25,33.875,13,18.90909090909091,NA
CHN_R912940,"Beijing, CHN",01/17/2018,121.46666666666667,76.33333333333333,27.6875,23.466666666666665,4.666666666666667,9.8125,NA
CHN_R912940,"Beijing, CHN",01/17/2019,102.5,60.3125,13.5,27.4375,6.0625,9.0625,NA
CHN_R912940,"Beijing, CHN",01/17/2020,113.6875,62.0625,10,29.1875,5.066666666666666,12.625,NA
CHN_R912940,"Beijing, CHN",01/17/2021,37.375,47.1875,20.5625,10.25,1.0769230769230769,2.6875,NA
CHN_R912940,"Beijing, CHN",01/17/2022,38.625,32.9375,21.875,16.625,1,3.1875,NA
CHN_R912940,"Beijing, CHN",01/17/2023,58.75,78.8125,26.0625,5.625,1,1.4375,NA
CHN_R912940,"Beijing, CHN",01/17/2024,125.4375,87.75,3.9375,30,1,7.9375,NA
CHN_R912940,"Beijing, CHN",01/18/2014,226.66666666666666,72.73333333333333,13.428571428571429,32.642857142857146,23.285714285714285,21.714285714285715,NA
CHN_R912940,"Beijing, CHN",01/18/2015,123.8125,77.8125,27.75,25.8125,17.625,15.9375,NA
CHN_R912940,"Beijing, CHN",01/18/2016,92.73333333333333,39.6,30.133333333333333,6.733333333333333,1.9333333333333333,4.333333333333333,NA
CHN_R912940,"Beijing, CHN",01/18/2017,196.1875,51.125,16,25.25,7.0625,8.25,NA
CHN_R912940,"Beijing, CHN",01/18/2018,111.46666666666667,69.66666666666667,12.3125,33.733333333333334,5.933333333333334,10.5,NA
CHN_R912940,"Beijing, CHN",01/18/2019,113.1875,78.125,6.625,34.5,7.625,13.375,NA
CHN_R912940,"Beijing, CHN",01/18/2020,151.75,89,26.5625,28.375,1.8461538461538463,18.8125,NA
CHN_R912940,"Beijing, CHN",01/18/2021,59.6875,57.1875,20.875,12.875,1.0909090909090908,3.125,NA
CHN_R912940,"Beijing, CHN",01/18/2022,56.9375,57.9375,6.875,26.9375,2.1333333333333333,7.625,NA
CHN_R912940,"Beijing, CHN",01/18/2023,77.875,65.8125,20.6875,11.5,1,2.6875,NA
CHN_R912940,"Beijing, CHN",01/18/2024,167.875,75.125,10.125,25.125,1.4545454545454546,8.5625,NA
CHN_R912940,"Beijing, CHN",01/19/2014,157.6,119.33333333333333,21.857142857142858,31.4,36.4,26,NA
CHN_R912940,"Beijing, CHN",01/19/2015,130.3125,57.875,21.1875,25.4375,12.6875,11.75,NA
CHN_R912940,"Beijing, CHN",01/19/2016,40.53333333333333,64.26666666666667,20.8,25.6,10.6,13.733333333333333,NA
CHN_R912940,"Beijing, CHN",01/19/2017,115.6875,63,28.1875,17.0625,6.75,11.4375,NA
CHN_R912940,"Beijing, CHN",01/19/2018,119.4,86.06666666666666,15.8125,36.13333333333333,7.066666666666666,14.4375,NA
CHN_R912940,"Beijing, CHN",01/19/2019,153.5625,33.125,26.1875,11.9375,2.1875,3.5,NA
CHN_R912940,"Beijing, CHN",01/19/2020,228.3125,56.625,27.375,10.3125,1.1111111111111112,4.3125,NA
CHN_R912940,"Beijing, CHN",01/19/2021,66.875,46.125,14.8125,14.4375,1.1111111111111112,5.375,NA
CHN_R912940,"Beijing, CHN",01/19/2022,127,61.5625,14.5,18.875,2.7333333333333334,9.5625,NA
CHN_R912940,"Beijing, CHN",01/19/2023,84.375,70.5625,23.8125,9.9375,1,2.9375,NA
CHN_R912940,"Beijing, CHN",01/19/2024,157.1875,61.375,8.5625,25.125,1.7142857142857142,8,NA
CHN_R912940,"Beijing, CHN",01/20/2014,178.2,28.6,26.357142857142858,8.357142857142858,4.466666666666667,11.875,NA
CHN_R912940,"Beijing, CHN",01/20/2015,107.0625,80.0625,10.0625,34.625,23.6875,18.8125,NA
